data_seed,training_seed,probe_seed,w,epochs,minibatch_size,final_loss,final_bias,final_variance,mean_surface_distance,p95_surface_distance,bridge_fraction_0p25,component_0_fraction,component_1_fraction,lambda_1,training_seconds
42,40,42,0.1,10000,50,0.04445012379437685,0.007122715003788471,0.3732740879058838,0.0901904956851356,0.16978838643838895,0.0035,0.692,0.308,0.14788566529750824,10.936726093292236
42,41,42,0.1,10000,50,0.03637253046035767,0.005406200885772705,0.3096632957458496,0.07701622116548046,0.1124060376179477,0.0005,0.6925,0.3075,0.05464627593755722,10.9306640625
42,42,42,0.1,10000,50,0.04387502819299698,0.0069243088364601135,0.36950719356536865,0.08962402209276521,0.18144473949606907,0.004,0.6985,0.3015,1.5983061530278064e-05,10.880013227462769
42,43,42,0.1,10000,50,0.04261413617059589,0.007064111065119505,0.3555002510547638,0.09142671418325804,0.18168742436808297,0.0115,0.6985,0.3015,1.481994149798993e-05,10.934960126876831
42,44,42,0.1,10000,50,0.04209168255329132,0.0066051483154296875,0.35486534237861633,0.08122096493957924,0.12145611239101478,0.002,0.692,0.308,0.11765576899051666,10.974854946136475
42,40,42,0.3,10000,50,0.09328676648437977,0.015486093237996101,0.25933557748794556,0.1774811869877838,0.2608914265337303,0.1095,0.686,0.314,0.053060583770275116,11.207197189331055
42,41,42,0.3,10000,50,0.09342386797070502,0.016449306160211563,0.2565818727016449,0.18422702255022916,0.2525249687150372,0.0575,0.6875,0.3125,0.05507631227374077,11.065980911254883
42,42,42,0.3,10000,50,0.09325610399246216,0.01547899842262268,0.2592570185661316,0.1794795904571152,0.2502983732412583,0.052,0.689,0.311,0.05097801983356476,11.240560054779053
42,43,42,0.3,10000,50,0.09317532330751419,0.016034983098506927,0.25713446736335754,0.18279270125604416,0.25470556698950714,0.061,0.6875,0.3125,0.052010294049978256,11.197662830352783
42,44,42,0.3,10000,50,0.09318921454250813,0.015757979825139046,0.2581041157245636,0.1822714550814212,0.24641562574636933,0.019,0.689,0.311,0.050071682780981064,10.968607902526855
42,40,42,1.0,10000,50,0.2217051461338997,0.09314735978841782,0.12855778634548187,0.4960491018509457,0.7095498319381308,1.0,0.6925,0.3075,0.00021190269035287201,11.026976823806763
42,41,42,1.0,10000,50,0.2215968668460846,0.09358587861061096,0.12801098823547363,0.49230598990212343,0.6751744670617098,1.0,0.6925,0.3075,0.00013525808753911406,11.058763027191162
42,42,42,1.0,10000,50,0.22144544124603271,0.0932992547750473,0.1281461864709854,0.4941478797144231,0.6833724619965279,1.0,0.6925,0.3075,0.00016506931569892913,11.034212112426758
42,43,42,1.0,10000,50,0.22164443880319595,0.09478608518838882,0.12685835361480713,0.48740771679227507,0.679503397327359,1.0,0.6925,0.3075,0.0001792614348232746,11.015154123306274
42,44,42,1.0,10000,50,0.22136685252189636,0.09283247590065002,0.12853437662124634,0.4932904949981627,0.6809791361503468,1.0,0.6925,0.3075,7.617610390298069e-05,11.018414974212646
43,42,42,0.1,10000,50,0.042666093353182076,0.0071083554066717625,0.35557737946510315,0.08064234695739589,0.13169430753165376,0.007,0.692,0.308,0.09435655176639557,10.942024946212769
44,42,42,0.1,10000,50,0.042956082709133626,0.007097993977367878,0.35858088731765747,0.07785495802663567,0.12079977283337147,0.0035,0.6915,0.3085,0.0947742611169815,10.931490182876587
